Marca_Modelo,Precio,Km,Transmision,Combustible,URL,Anio,Marca,Modelo
Toyota Camry 2013,11500,123000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-camry-2013-1863515,2013,Toyota,Camry
Honda Cr-V 2008,18000,105695,Automática,Dual,https://neoauto.com/auto/usado/honda-cr-v-2008-1859021,2008,Honda,Cr-V
Volvo S60 2012,11000,57000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-s60-2012-1859861,2012,Volvo,S60
Bmw X3 20i 2017,27000,58000,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2017-1863093,2017,Bmw,X3 20i
Jeep Cherokee Sport 2015,13500,67300,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-sport-2015-1856239,2015,Jeep,Cherokee Sport
Volvo Xc-60 2013,15500,118000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2013-1859171,2013,Volvo,Xc-60
Volkswagen Bora 2015,7650,165000,Automática - Secuencial,Gas GLP,https://neoauto.com/auto/usado/volkswagen-bora-2015-1862434,2015,Volkswagen,Bora
Subaru Impreza Sport 2019,15800,51000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-sport-2019-1862390,2019,Subaru,Impreza Sport
Volkswagen Gol 1995,3800,200000,Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-gol-1995-1862461,1995,Volkswagen,Gol
Hyundai Tucson 2008,8300,232000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/hyundai-tucson-2008-1863474,2008,Hyundai,Tucson
Honda Pilot 2017,21900,83000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2017-1862570,2017,Honda,Pilot
Dfsk Glory 500 2022,11490,34000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/dfsk-glory-500-2022-1860674,2022,Dfsk,Glory 500
Mitsubishi Montero Sport 2014,22000,111500,Automática - Secuencial,Diesel,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2014-1863708,2014,Mitsubishi,Montero Sport
Bmw X1 18i 2018,20900,52500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2018-1859469,2018,Bmw,X1 18i
Suzuki Grand Nomade 2008,9300,159913,Automática,Gasolina,https://neoauto.com/auto/usado/suzuki-grand-nomade-2008-1863763,2008,Suzuki,Grand Nomade
Peugeot 208 2013,7000,97000,Mecánica,Gasolina,https://neoauto.com/auto/usado/peugeot-208-2013-1859297,2013,Peugeot,208
Honda Wr-V 2021,15000,32000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/honda-wr-v-2021-1863044,2021,Honda,Wr-V
Toyota Land Cruiser Prado 2012,25000,208000,Automática,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-prado-2012-1862910,2012,Toyota,Land Cruiser Prado
